State,District,N,P,K,pH,Temperature,Humidity,Rainfall,Crop,Source
National Benchmark,Benchmark,90.0,42.0,43.0,6.5,20.88,82.0,202.94,rice,Kaggle Benchmark
National Benchmark,Benchmark,85.0,58.0,41.0,7.04,21.77,80.32,226.66,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,55.0,44.0,7.84,23.0,82.32,263.96,rice,Kaggle Benchmark
National Benchmark,Benchmark,74.0,35.0,40.0,6.98,26.49,80.16,242.86,rice,Kaggle Benchmark
National Benchmark,Benchmark,78.0,42.0,42.0,7.63,20.13,81.6,262.72,rice,Kaggle Benchmark
National Benchmark,Benchmark,69.0,37.0,42.0,7.07,23.06,83.37,251.05,rice,Kaggle Benchmark
National Benchmark,Benchmark,69.0,55.0,38.0,5.7,22.71,82.64,271.32,rice,Kaggle Benchmark
National Benchmark,Benchmark,94.0,53.0,40.0,5.72,20.28,82.89,241.97,rice,Kaggle Benchmark
National Benchmark,Benchmark,89.0,54.0,38.0,6.69,24.52,83.54,230.45,rice,Kaggle Benchmark
National Benchmark,Benchmark,68.0,58.0,38.0,6.34,23.22,83.03,221.21,rice,Kaggle Benchmark
National Benchmark,Benchmark,91.0,53.0,40.0,5.39,26.53,81.42,264.61,rice,Kaggle Benchmark
National Benchmark,Benchmark,90.0,46.0,42.0,7.5,23.98,81.45,250.08,rice,Kaggle Benchmark
National Benchmark,Benchmark,78.0,58.0,44.0,5.11,26.8,80.89,284.44,rice,Kaggle Benchmark
National Benchmark,Benchmark,93.0,56.0,36.0,6.98,24.01,82.06,185.28,rice,Kaggle Benchmark
National Benchmark,Benchmark,94.0,50.0,37.0,6.95,25.67,80.66,209.59,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,48.0,39.0,7.04,24.28,80.3,231.09,rice,Kaggle Benchmark
National Benchmark,Benchmark,85.0,38.0,41.0,6.25,21.59,82.79,276.66,rice,Kaggle Benchmark
National Benchmark,Benchmark,91.0,35.0,39.0,6.97,23.79,80.42,206.26,rice,Kaggle Benchmark
National Benchmark,Benchmark,77.0,38.0,36.0,5.95,21.87,80.19,224.56,rice,Kaggle Benchmark
National Benchmark,Benchmark,88.0,35.0,40.0,5.85,23.58,83.59,291.3,rice,Kaggle Benchmark
National Benchmark,Benchmark,89.0,45.0,36.0,6.44,21.33,80.47,185.5,rice,Kaggle Benchmark
National Benchmark,Benchmark,76.0,40.0,43.0,5.07,25.16,83.12,231.38,rice,Kaggle Benchmark
National Benchmark,Benchmark,67.0,59.0,41.0,6.01,21.95,80.97,213.36,rice,Kaggle Benchmark
National Benchmark,Benchmark,83.0,41.0,43.0,6.25,21.05,82.68,233.11,rice,Kaggle Benchmark
National Benchmark,Benchmark,98.0,47.0,37.0,7.38,23.48,81.33,224.06,rice,Kaggle Benchmark
National Benchmark,Benchmark,66.0,53.0,41.0,7.78,25.08,80.52,257.0,rice,Kaggle Benchmark
National Benchmark,Benchmark,97.0,59.0,43.0,6.29,26.36,84.04,271.36,rice,Kaggle Benchmark
National Benchmark,Benchmark,97.0,50.0,41.0,7.07,24.53,80.54,260.26,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,49.0,44.0,6.24,20.78,84.5,240.08,rice,Kaggle Benchmark
National Benchmark,Benchmark,84.0,51.0,35.0,6.04,22.3,80.64,197.98,rice,Kaggle Benchmark
National Benchmark,Benchmark,73.0,57.0,41.0,5.82,21.45,84.94,272.2,rice,Kaggle Benchmark
National Benchmark,Benchmark,92.0,35.0,40.0,6.36,22.18,80.33,200.09,rice,Kaggle Benchmark
National Benchmark,Benchmark,85.0,37.0,39.0,6.36,24.53,82.74,224.68,rice,Kaggle Benchmark
National Benchmark,Benchmark,98.0,53.0,38.0,5.01,20.27,81.64,270.44,rice,Kaggle Benchmark
National Benchmark,Benchmark,88.0,54.0,44.0,6.15,25.74,83.88,233.13,rice,Kaggle Benchmark
National Benchmark,Benchmark,95.0,55.0,42.0,5.95,26.8,82.15,193.35,rice,Kaggle Benchmark
National Benchmark,Benchmark,99.0,57.0,35.0,5.96,26.76,81.18,272.3,rice,Kaggle Benchmark
National Benchmark,Benchmark,95.0,39.0,36.0,5.56,23.86,83.15,285.25,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,43.0,44.0,7.42,21.02,82.95,298.4,rice,Kaggle Benchmark
National Benchmark,Benchmark,63.0,44.0,41.0,5.58,24.17,83.73,257.03,rice,Kaggle Benchmark
National Benchmark,Benchmark,62.0,42.0,36.0,6.43,22.78,82.07,248.72,rice,Kaggle Benchmark
National Benchmark,Benchmark,64.0,45.0,43.0,5.53,25.63,83.53,209.9,rice,Kaggle Benchmark
National Benchmark,Benchmark,83.0,60.0,36.0,6.9,25.6,80.15,200.83,rice,Kaggle Benchmark
National Benchmark,Benchmark,82.0,40.0,40.0,6.27,23.83,84.81,298.56,rice,Kaggle Benchmark
National Benchmark,Benchmark,85.0,52.0,45.0,7.22,26.31,82.37,265.54,rice,Kaggle Benchmark
National Benchmark,Benchmark,91.0,35.0,38.0,6.13,24.9,80.53,183.68,rice,Kaggle Benchmark
National Benchmark,Benchmark,76.0,49.0,42.0,5.21,24.96,84.48,196.96,rice,Kaggle Benchmark
National Benchmark,Benchmark,74.0,39.0,38.0,7.78,23.24,84.59,233.05,rice,Kaggle Benchmark
National Benchmark,Benchmark,79.0,43.0,39.0,7.06,21.67,80.71,210.81,rice,Kaggle Benchmark
National Benchmark,Benchmark,88.0,55.0,45.0,7.73,24.64,80.41,253.72,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,36.0,43.0,5.29,23.43,83.06,219.9,rice,Kaggle Benchmark
National Benchmark,Benchmark,76.0,60.0,39.0,6.77,20.05,80.35,208.58,rice,Kaggle Benchmark
National Benchmark,Benchmark,93.0,56.0,42.0,7.38,23.86,82.23,195.09,rice,Kaggle Benchmark
National Benchmark,Benchmark,65.0,60.0,43.0,5.66,21.97,81.9,227.36,rice,Kaggle Benchmark
