state,district,latitude,longitude,N,P,K,ph,temperature,humidity,rainfall,data_source,crop
Karnataka,Shimoga,13.8105,75.6736,132.77,26.15,32.96,5.68,21.63,84.93,1997.38,Kaggle_Curated,tea
Karnataka,Shimoga,14.0251,75.6035,19.2,50.03,20.02,6.52,26.22,90.42,1012.33,SoilGrids_Augmented,mungbean
Karnataka,Dakshina Kannada,13.017,74.9779,90.62,20.79,41.04,5.17,24.55,84.53,3162.36,ICAR_State_Portal,tea
Karnataka,Dakshina Kannada,12.8036,74.9829,56.74,41.31,36.13,7.45,22.15,84.96,1800.82,FAO_Consolidated,jute
Punjab,Ludhiana,30.803,75.9728,86.1,61.48,45.68,5.52,23.91,82.71,745.68,ICAR_State_Portal,rice
Karnataka,Dakshina Kannada,12.9361,74.8723,94.28,51.14,34.06,6.88,26.6,86.02,2486.41,FAO_Consolidated,jute
Tamil Nadu,Thanjavur,10.7579,79.0776,102.0,55.4,38.29,6.99,31.3,73.04,1443.06,ICAR_State_Portal,jute
Assam,Jorhat,26.6077,94.2976,115.26,25.38,43.16,4.87,20.28,76.56,2033.79,FAO_Consolidated,tea
Karnataka,Shimoga,13.8737,75.704,64.8,38.81,43.52,6.43,24.01,87.2,1509.62,FAO_Consolidated,rice
Karnataka,Dharwad,15.4582,75.083,56.51,40.76,36.75,7.16,24.49,80.77,1239.2,ICAR_State_Portal,jute
Himachal Pradesh,Shimla,31.1425,77.1899,60.81,57.63,31.87,7.3,26.46,76.55,1553.77,ICAR_State_Portal,jute
Himachal Pradesh,Shimla,31.1905,77.1731,73.22,38.78,40.03,6.6,24.1,75.32,1757.56,Kaggle_Curated,jute
Punjab,Ludhiana,30.83,75.8894,74.31,45.74,42.25,6.08,24.86,73.47,1256.32,Kaggle_Curated,jute
Karnataka,Shimoga,13.9871,75.785,88.93,62.79,30.19,6.83,27.88,77.24,1689.27,FAO_Consolidated,rice
Karnataka,Dakshina Kannada,12.8267,74.9008,111.92,38.78,36.51,5.98,22.45,83.54,2487.79,FAO_Consolidated,tea
Maharashtra,Nashik,19.8974,73.8434,115.68,21.08,28.65,4.72,21.3,79.87,1968.69,FAO_Consolidated,tea
Maharashtra,Nashik,19.96,73.7054,83.08,37.57,41.87,7.37,27.02,78.75,1084.72,ICAR_State_Portal,jute
Karnataka,Dakshina Kannada,12.9589,74.978,22.13,23.91,53.95,7.34,28.06,87.3,1476.36,FAO_Consolidated,pomegranate
Punjab,Ludhiana,30.9136,75.894,97.0,31.31,29.69,4.85,24.48,77.73,1584.54,ICAR_State_Portal,tea
Punjab,Ludhiana,30.9078,75.812,94.74,41.06,40.31,5.76,26.47,89.81,1498.61,ICAR_State_Portal,rice
Maharashtra,Nashik,19.8183,73.84,132.9,23.93,37.45,4.56,24.1,78.69,1713.89,FAO_Consolidated,tea
Himachal Pradesh,Shimla,31.165,77.172,119.34,29.39,27.54,4.73,17.74,81.92,2252.3,ICAR_State_Portal,tea
Tamil Nadu,Thanjavur,10.8101,79.0111,83.42,58.54,40.4,7.44,29.85,79.38,1315.47,SoilGrids_Augmented,jute
Himachal Pradesh,Shimla,31.1967,77.2826,97.92,77.31,32.83,6.95,19.25,85.61,1566.94,FAO_Consolidated,banana
Karnataka,Dharwad,15.3782,75.2229,54.24,38.44,40.5,6.56,21.13,80.23,858.06,SoilGrids_Augmented,jute
