crop,instances,mean_jaccard,min_jaccard,high_fidelity_rate
mango,5,0.38,0.2,0.6
rice,5,0.44,0.2,0.8
pigeonpeas,5,0.48,0.2,0.6
mothbeans,5,0.58,0.2,0.6
lentil,5,0.6,0.5,1.0
kidneybeans,5,0.6,0.5,1.0
banana,5,0.7,0.5,1.0
blackgram,5,0.7,0.5,1.0
jute,5,0.7,0.5,1.0
pomegranate,5,0.7,0.5,1.0
chickpea,5,0.7,0.5,1.0
mungbean,5,0.7,0.5,1.0
papaya,5,0.8,0.5,1.0
coconut,5,0.8,0.5,1.0
maize,5,0.8,0.5,1.0
cotton,5,0.8,0.5,1.0
orange,5,0.9,0.5,1.0
grapes,5,0.9,0.5,1.0
apple,5,1.0,1.0,1.0
coffee,5,1.0,1.0,1.0
muskmelon,5,1.0,1.0,1.0
watermelon,5,1.0,1.0,1.0
